run,dice_mean,dice_lv_endocardium,dice_lv_epicardium,dice_left_atrium,hd95_mean,assd_mean,latency_ms_mean,fps,params_M,gflops
E4_mr2,0.9116763973227262,0.9383961514804259,0.8844615197845692,0.9121715207031833,3.843891534932725,0.7528546064979431,27.30862749980588,36.61846425665693,2.689469,9.0819072
E4_mr4,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,41.60529850005332,24.035400202662128,2.689469,9.0819072
E5_coco,0.9121467082129225,0.928389372573227,0.8858127073091668,0.922238044756374,3.7577164388261766,0.7351075415813935,26.257085500401445,38.08495805769117,2.689469,9.0819072
E5_echo,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,41.60529850005332,24.035400202662128,2.689469,9.0819072
E5_echo_fliplr,0.9094576840808735,0.9402223801600391,0.868971554855724,0.9191791172268572,3.9492464536006633,0.7774898008351996,43.76079999994545,22.85150180072683,2.689469,9.0819072
E5_none,0.9064038775225894,0.9286180304722336,0.8775630791305988,0.9130305229649358,4.06742383566884,0.7819957976305599,26.623346998821944,37.56101740492091,2.689469,9.0819072
E6_pretrained,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,41.60529850005332,24.035400202662128,2.689469,9.0819072
E6_scratch,0.9059574255850359,0.9340539755118528,0.88083749560798,0.9029808056352749,3.932926940433964,0.7675119400357076,28.209464000319713,35.44909609018684,2.689469,9.0819072
E7_edes,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,41.60529850005332,24.035400202662128,2.689469,9.0819072
E7_seq,0.9053574073246198,0.9363679918571671,0.875782155592849,0.9039220745238432,4.060118513052299,0.8222831583297576,42.217643999902066,23.686778921209335,2.689469,9.0819072
E8_n32,0.9105144094607184,0.9264081700979454,0.882348979458145,0.9227860788260648,3.8332128759513444,0.7610312548340946,42.00360600007116,23.807479767292026,2.689469,9.0819072
E8_n96,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,41.60529850005332,24.035400202662128,2.689469,9.0819072
E9_seed0,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,41.60529850005332,24.035400202662128,2.689469,9.0819072
E9_seed1,0.9063727747295482,0.9320376336570391,0.8738091299641981,0.9132715605674073,3.8705484585000374,0.7586097246346338,45.71441899934143,21.874936221204212,2.689469,9.0819072
E9_seed2,0.9125233644507964,0.9419285157045065,0.8775933286595269,0.9180482489883556,3.8208123651803465,0.7548418385043505,29.1686570001184,34.28337478807958,2.689469,9.0819072
I1_conf10,0.9166354798781743,0.9419472870023164,0.8859845080078109,0.9219746446243949,3.7403931935139867,0.7498927542104176,65.39336800124147,15.292070596226445,2.689469,9.0819072
I1_conf25,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,45.26445599985891,22.09238966669824,2.689469,9.0819072
I1_conf50,0.9055235639723404,0.9282876206969592,0.8822283277089545,0.9060547435111072,3.699957311515883,0.7426402006745326,44.83864649999305,22.302189697009588,2.689469,9.0819072
I2_tta,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,44.69364449963905,22.374545893389296,2.689469,9.0819072
I3_half,0.9151498050406645,0.941942200062821,0.8860021545749734,0.9175050604841991,3.737430053224042,0.7491297482810981,45.22258850149228,22.1128430091303,2.689469,9.0819072
